WP1_Hydro,WP1_Def2,WP1_Flood
-44.00587358,856.9570435,2.086475293
-43.38176968,818.2456616,2.025585414
-45.07727408,1093.715298,2.099559272
-43.02566374,740.12268,2.087286574
-37.61737161,2069.484883,0.41926709
-36.02058647,323.3898136,1.092492474
-33.15110433,371.4498152,0.093628527
-37.35538546,1529.91552,0.438333027
-39.57104355,221.874303,1.97014662
-38.02968373,1565.101149,0.587705417
-38.03833359,147.5978729,1.92434142
-44.20173507,1260.529509,1.998043242
-37.0531618,1209.430713,0.497856878
-39.21879905,1106.608228,0.883386563
-39.01439925,1760.713955,0.642898519
-40.20910967,1929.994924,0.74447768
-38.34137905,1407.729211,0.645875175
-41.09483849,1812.495978,0.909850962
-39.044486,1516.50862,0.67028032
-38.01462557,1182.343788,0.680494852
-39.12772605,1370.769933,0.732472827
-39.05217307,1272.977953,0.803239134
-39.0450135,1048.74378,0.964670705
-40.2724859,1624.875558,0.837719021
-38.01068149,845.5939492,0.825070419
-38.04802205,312.5106213,1.752004576
-37.45573459,267.8893356,1.75538959
-37.15780172,346.3817022,1.254019604
-37.01417481,286.8768709,1.459281005
-36.87460881,299.694956,1.398649709
-33.04136984,323.0098994,0.321296843
-43.40507737,702.8832023,2.143252065
-38.0297464,2345.912936,0.387844677
-32.00942728,293.6290302,0.289227476
-36.29932563,676.515873,0.477465472
-38.03455566,2307.217517,0.447641797
-38.77704793,2582.829456,0.337067237
-31.63478281,317.9129728,0.18863287
-39.50094361,2516.18785,0.51856318
-37.67810991,2295.340396,0.318667992
-33.07809935,223.6550518,0.743720877
-38.57619468,109.9225768,2.132355633
-35.01584049,473.5381281,0.156469535
-35.01614378,546.1801175,0.112579282
-35.21437722,1964.41792,0.036842924
-34.37859135,443.0727542,0.137789842
-35.0933713,417.8305019,0.251792599
-35.04848316,369.8273638,0.451465556
-37.11047681,530.9297143,0.831745932
-36.21512522,1028.964781,0.339999854
-39.12519616,936.42638,1.145059831
-36.0766287,421.4669786,0.679254324
-37.03002099,467.9746714,0.974498566
-36.18762211,349.6967633,1.0090773
-36.03023114,758.7566291,0.374822669
-34.14201402,629.4691949,0.045797909
-36.31665517,1622.122968,0.235367389
-42.13668709,892.4912495,1.940631105
-41.66484982,728.9353784,1.945461643
-43.43444846,1393.530786,1.942357448
-42.01647279,331.9597833,2.108369767
-42.31804689,364.5771678,2.099716493
-40.26479548,482.9397984,1.938294531
-42.11159664,703.1674356,1.990704501
-37.01595443,777.9745248,0.585194644
-31.33637128,223.8808092,0.661696465
-34.35358518,356.6132303,0.229853062
-42.02312702,1464.173831,1.489722342
-41.11272734,199.180367,2.098928542
-42.07842267,2344.500292,1.158882625
-38.11526987,665.1229487,1.045838962
-41.09672801,1309.949173,1.274501147
-41.30289507,1431.096189,1.093923001
-40.09364075,1510.037276,0.95498295
-35.01860273,323.1210037,0.529000918
-36.03990223,370.9596682,0.86389727
-43.08101191,2303.454471,1.555561823
-43.18760534,2431.234738,1.479432554
-41.02035642,1274.15738,1.467821801
-41.1582964,1478.067555,1.046818477
-41.00104796,1248.496074,1.601979192
-38.00278269,446.1646039,1.287225453
-42.07957764,1401.271514,1.504452275
-42.39291145,1537.833075,1.246501921
-40.46560964,1384.789025,1.031268401
-32.13228368,190.3790015,1.509866886
-40.04723339,1062.420997,1.639176891
-42.04698543,1378.078337,1.792340583
-41.50431559,1406.810343,1.233720595
-37.05378677,418.6871296,1.029184681
-42.06361203,1494.692993,1.304315584
-38.04176516,363.067676,1.435769766
-40.4814703,1224.423435,1.122818461
-40.00315409,1081.683346,1.241288634
-32.51201805,264.5741349,0.566499487
-32.12071431,171.0192942,1.835143404
-43.01156164,2218.671181,1.719611992
-34.5202442,273.089791,0.691574964
-36.05991724,490.343765,0.575466001
-35.05140752,221.1254126,1.50589411
-40.1288564,162.7167017,2.002171071
-39.04802924,375.0645368,1.816220594
-34.75327538,199.8881184,1.843609483
-34.50281801,223.8689373,1.175612752
-39.02021602,899.4397473,1.22863081
-38.53025165,508.152406,1.109332518
-38.03119556,732.1974674,0.899718339
-39.05687995,618.5704083,1.304897201
-39.00443178,539.8127313,1.537430632
-39.20337706,406.6780962,1.759552714
-35.00326635,253.4447536,0.922724856
-41.27988258,369.5407882,1.99375597
-38.05663832,346.3580606,1.662667279
-40.04932377,988.93656,1.854260365
-39.0200016,499.19335,1.738600069
-39.05208502,561.2029247,1.474496301
-45.48318284,1547.893144,1.998405349
-37.01080528,692.370587,0.632887341
-36.01634184,456.2214452,0.604262733
-33.94170006,290.6479488,0.546830866
-40.07662155,138.693892,2.085000931
-34.47325147,244.2551007,0.772500668
